dt,gamma,clip,dist
0.005,1.0,0.5,0.8880263765199329
0.005,1.0,1.0,1.7827445282294707
0.005,1.0,5.0,4.447764462411201
0.005,2.0,0.5,0.5554556131573228
0.005,2.0,1.0,1.0036939190455294
0.005,2.0,5.0,3.5795561060596275
0.005,5.0,0.5,0.6268300388917353
0.005,5.0,1.0,0.5469381550543548
0.005,5.0,5.0,1.8441492058974553
0.005,10.0,0.5,0.7037578058805904
0.005,10.0,1.0,0.6288257637954413
0.005,10.0,5.0,0.5818748457395818
0.01,1.0,0.5,1.8999868008399738
0.01,1.0,1.0,2.5291013368247133
0.01,1.0,5.0,6.4987964073281494
0.01,2.0,0.5,1.0048404430262035
0.01,2.0,1.0,1.9760545036846437
0.01,2.0,5.0,4.596200950365153
0.01,5.0,0.5,0.5461773588656513
0.01,5.0,1.0,0.6729728880190814
0.01,5.0,5.0,2.92704072226585
0.01,10.0,0.5,0.6303489976917757
0.01,10.0,1.0,0.5467162177502468
0.01,10.0,5.0,1.63490692932274
0.02,1.0,0.5,2.9439026855361425
0.02,1.0,1.0,4.889887612302063
0.02,1.0,5.0,7.27493990106356
0.02,2.0,0.5,1.9658503845841735
0.02,2.0,1.0,3.00574131235436
0.02,2.0,5.0,6.09164942429928
0.02,5.0,0.5,0.6546816473471764
0.02,5.0,1.0,1.5626912859808688
0.02,5.0,5.0,4.832720111878544
0.02,10.0,0.5,0.547906099686506
0.02,10.0,1.0,0.6553753688503478
0.02,10.0,5.0,2.593750370668585
